video,filament_id,observations,max_consecutive_frames,first_frame,last_frame,lifetime_min,min_length_um,mean_length_um,max_length_um,length_std_um,length_range_um,mean_span_length_um,mean_arc_length_um,max_xy_slice_length_um,mean_linearity_r2,min_linearity_r2,mean_rod_fit_rmse_um,mean_rod_fit_diameter_um,mean_rod_fit_cv,start_dominant_plane,end_dominant_plane,plane_switch_count,start_angle_to_xy_deg,end_angle_to_xy_deg,start_angle_to_xz_deg,end_angle_to_xz_deg,rotation_angle_deg,total_rotation_deg,xy_to_xz_transition_score,length_change_rate_um_per_min,arc_trajectory_um,net_displacement_um,directionality,mean_speed_um_per_min,max_speed_um_per_min,speed_std_um_per_min,mean_z_plane_count,max_z_plane_count,z_spread_um,z_center_um,mean_intensity,sum_intensity,max_intensity,start_x_um,start_y_um,start_z_um,end_x_um,end_y_um,end_z_um
ch20_URA7_URA8_001_hyperstack_crop_01,5,18,13,6,35,435.0,0.6535373831014666,1.2169117741621642,1.9034934577748177,0.33782031900228654,1.2499560746733511,1.2812551111799642,2.231162902128637,4.590264896472981,0.584074582052333,0.43329665172916015,0.3026842674621359,0.6053685349242718,0.2504787037761591,xy,xy,4,0.0,4.673315195968582,18.434948822922014,29.947641597976453,48.66111074913607,485.321460873703,-29.947641597976453,0.0008632376922327463,40.16093223831547,0.742005005759013,0.06601003109291001,0.03962312019212295,0.0739706401135361,0.018052041637814504,2.7222222222222223,4,0.8999999999999999,0.19873265154205735,135.8115988837348,72508.0,165.0,22.44,24.119999999999997,0.0,21.842857142857138,23.714285714285715,0.17142857142857137
ch20_URA7_URA8_001_hyperstack_crop_02,1,43,27,3,49,690.0,0.8013876853447556,3.4036509676363607,6.647334924290843,1.423224424596217,5.845947238946088,3.772752368454335,7.758556914584619,18.154146838027792,0.683739481967566,0.4693406826909292,0.6531505254203792,1.3063010508407584,0.19940544735563046,xy,xy,16,0.0,0.8393923146164519,45.00000000000001,29.6945126505427,15.324436662888221,1168.4460105218677,-29.6945126505427,0.007164298652989677,333.6179473271386,4.102550443186394,0.10751587882069538,0.05770632955771457,0.36185484357375924,0.059629305606403615,4.0,5,1.2,0.3121028897670326,171.7457495401072,958561.0,230.0,20.699999999999996,16.5,0.0,16.924999999999997,14.916666666666666,0.2708333333333333
ch20_URA7_URA8_001_hyperstack_crop_03,3,5,5,45,49,60.0,1.135514094649488,2.599509779967253,3.5857086915705016,0.8809023952391472,2.4501945969210137,2.8331144174005196,5.796640471638404,9.387010341560368,0.7635096795924843,0.580424690356181,0.39119599062290095,0.7823919812458019,0.1662165106721521,xy,xy,0,3.2191452382634256,4.286666758045167,8.535254826540505,13.907477274741456,22.472297480006457,41.679081896771855,-10.68833203647803,-0.04083657661535023,28.98320235819202,2.956372030259618,0.8443558351004252,0.05835557133934327,0.10612286385270761,0.030564959125442784,3.4,4,0.8999999999999999,0.24711016215383935,154.16278991699218,55977.0,188.0,14.547945205479452,15.735616438356162,0.2013698630136986,16.049999999999997,13.189285714285713,0.21428571428571422
ch20_URA7_URA8_001_hyperstack_crop_03,5,15,5,5,49,660.0,0.9687474603550904,2.682410952675005,4.448385439620648,0.9642621077203136,3.479637979265558,2.8928703313322774,5.444096517924221,12.570506705206306,0.7579421814885909,0.4709533947935451,0.3852654170261047,0.7705308340522093,0.15991954118158144,xy,xy,4,0.7476548558907102,13.485265954086543,12.552586260616941,50.27429440846316,41.325204823392035,424.43170047013274,-49.526639552572455,0.003284283246769912,81.66144776886331,1.7814712171524212,0.09699941804982153,0.050267103559890614,0.12203548418995804,0.030696961442154773,3.533333333333333,5,1.2,0.2976825899161367,152.40951538085938,169096.0,194.0,23.27,15.659999999999998,0.10999999999999997,24.380124223602483,14.312422360248446,0.4639751552795031
ch20_URA7_URA8_001_hyperstack_crop_04,8,19,15,2,32,450.0,0.716367850040393,1.4814086526780472,2.485822337038137,0.6256148987868344,1.769454486997744,1.5785070996139454,2.6192050322195763,9.845459608297242,0.6456321485793207,0.4247958976919742,0.305878767610176,0.611757535220352,0.22623461560121344,xy,xy,11,3.5307064381846867,0.0,44.891351973264754,53.13010235415571,81.88543319862475,727.0605883769016,-49.59939591597102,-0.00023930266155266721,49.76489561217195,0.8484322472104122,0.04876175387331205,0.053508687605264546,0.11756330480438112,0.03362925289256921,3.1578947368421053,5,1.2,0.4600080269934272,141.00295297723068,94666.0,173.0,19.661538461538463,25.338461538461537,0.023076923076923075,18.95,25.799999999999997,0.0
ch20_URA7_URA8_001_hyperstack_crop_05,1,13,13,37,49,180.0,1.2866407771984987,2.4495970648502925,3.704544880528334,0.7825837446017339,2.4179041033298354,2.644835692672022,5.371027063917048,11.671632404005427,0.740716684819952,0.5424512346194945,0.3893601443469479,0.7787202886938958,0.17237003730078798,xy,xy,2,1.4277328564813225,10.249465094224053,80.33647416866803,66.09164452115385,32.30548187751248,329.81169570226524,-64.66391166467253,-0.003344655934197026,69.82335183092162,1.9349780735823527,0.24838435178674043,0.04327920865078622,0.09790744714418734,0.022178194157762704,3.5384615384615383,5,1.2,0.25660508668798365,136.6317842923678,123871.0,164.0,19.91739130434783,21.56086956521739,0.10434782608695652,19.944230769230767,19.626923076923074,0.16153846153846152
ch20_URA7_URA8_001_hyperstack_crop_08,1,9,9,41,49,120.0,0.8615270372883467,2.5777374322918014,3.9220360800827985,1.074812605277724,3.0605090427944517,2.7867143462824533,4.5492220551987455,14.792106942457803,0.7801535141093345,0.531522810618167,0.3801104157661918,0.7602208315323836,0.16401501102005434,xy,xy,4,8.876395080973328,3.5048270959183263,50.490287713805955,23.597924692840667,75.75569305492873,391.2516773016815,-14.72152961186734,0.016358321976077925,40.94299849678871,1.6193925843811607,0.21068848448670946,0.06405161742016147,0.1440052082391469,0.044642100254086485,2.6666666666666665,4,0.8999999999999999,0.17725823003773314,153.24387783474393,56292.0,180.0,17.82,15.36,0.12,18.05546218487395,16.9563025210084,0.2571428571428572
ch20_URA7_URA8_001_hyperstack_crop_09,1,16,13,31,49,270.0,0.6666666666666643,2.9517161568547636,3.775491072110677,0.8378736363092486,3.108824405444013,3.395845964780145,5.5525619067489345,9.541894654495044,0.7749010509582123,0.692900733532023,0.44208548955711735,0.8841709791142347,0.15604874947217168,xz,xy,1,0.0,7.994019780289078,0.0,50.57868450714305,51.712878991879975,124.39389414295799,-50.57868450714305,0.008179270933908779,88.84099050798295,1.028571512962458,0.1033405470914489,0.038205954798496304,0.07829806302348968,0.021384914171161146,4.0625,5,1.2,0.3561177121907279,168.09235763549805,345199.0,246.0,19.799999999999997,18.45,0.0,19.090434782608693,19.106086956521736,0.3521739130434782
ch20_URA7_URA8_001_hyperstack_crop_09,4,3,3,46,48,30.0,0.6666666666666682,1.1158030491001096,1.9754611688649462,0.6080744663072661,1.3087945021982779,1.0741961206328536,1.4787192294387987,2.4111957563972317,0.7792447547251476,0.7272727272727283,0.1929359335191413,0.3858718670382826,0.1924566965678448,xy,xy,2,16.724358585215686,6.82332872864031,24.49445921922325,63.533050870982464,88.05883122029331,94.87124122214294,-46.80869228576678,0.0423393285698744,4.4361576883163965,0.49203658400570754,0.7410928444742888,0.022131126469709068,0.03826225293941825,0.01613112646970918,2.0,2,0.3,0.15,161.78888956705728,3361.0,192.0,19.44,21.659999999999997,0.12,19.109999999999996,22.02,0.18
ch20_URA7_URA8_001_hyperstack_crop_10,2,21,11,26,49,345.0,0.7502677399925354,2.333219615176062,3.6099363703235374,0.8425524002120155,2.859668630331002,2.896140962008602,5.160680757559822,14.320327902703028,0.660300648227245,0.5064782166573423,0.4593602237351958,0.9187204474703916,0.21318634844177092,xy,yz,6,5.3405557992196275,35.58542508052225,18.252154936601773,36.898789159480195,49.28386865313687,454.03242876363555,-31.558233360260566,0.0005411312466940853,108.37429590875627,0.523073806482763,0.021061512741429547,0.0720064469075942,0.2968281130509791,0.05825304279296495,4.142857142857143,5,1.2,0.3880119523603786,174.43786403111048,387598.0,280.0,15.10869565217391,19.356521739130432,0.41304347826086946,15.19342105263158,18.840789473684207,0.4342105263157895
ch20_URA7_URA8_001_hyperstack_crop_12,2,5,5,30,34,60.0,1.245463640850813,2.6593385629831032,3.8237387051286533,0.9104089399420369,2.5782750642778405,3.2669953085117953,8.889100867352514,13.19947152131017,0.6752824310122478,0.5797826408363096,0.5188128209802255,1.037625641960451,0.21133669825759874,xy,xy,0,1.9030938028168187,3.778870959330482,41.339549065616126,8.286036263777614,33.5298984447497,59.15053798431168,-6.382942460960796,0.029473099082934322,44.445504336762575,2.3238052839539733,0.7153095282197114,0.054144515818616894,0.07366884722902597,0.01831448291524935,4.2,5,1.2,0.4239318535694682,150.71104736328124,103522.0,190.0,18.18333333333333,15.70833333333333,0.22499999999999995,19.907999999999998,14.192571428571434,0.582857142857143
ch20_URA7_URA8_001_hyperstack_crop_13,1,35,35,8,42,510.0,0.6535373831014631,2.622367472417579,5.797854775349134,1.0354925772036891,5.144317392247671,2.9250370669155257,5.662452542599189,19.383223770490204,0.6660982107362574,0.45305535253421514,0.4790283398465523,0.9580566796931046,0.20223908271364763,xz,xy,12,7.982990574960929,0.0,3.4189117282017656,18.43494882292228,23.230370338742343,1135.839891673937,-10.45195824796135,-0.0027610224083119968,198.1858389909716,4.276047066204568,0.12183216122801464,0.06881931607922484,0.2041615658499076,0.042188350319328584,4.3428571428571425,5,1.2,0.3785545353066652,178.71269095284597,727865.0,321.0,19.069090909090907,11.269090909090908,0.22363636363636358,18.36,15.479999999999999,0.0
ch20_URA7_URA8_001_hyperstack_crop_15,2,17,17,31,47,240.0,1.1537159825251737,3.0809168331481205,5.050844652506575,0.7885073500552605,3.897128669981401,3.4953332178754364,5.590125683169238,11.452402497715898,0.7529696692467752,0.6261526913982145,0.48109556414964794,0.9621911282992959,0.16222019860303621,xy,xy,2,3.4293876523595044,9.95627250627592,5.32027187308401,43.86815426409695,51.609064115434194,176.81914364645266,-40.43876661173745,0.007035682159070274,95.03213661387704,1.9187225870576217,0.16163488094500525,0.04946133779622444,0.09797820100040024,0.027541722514705845,4.764705882352941,5,1.2,0.45203098173529394,159.03995199764475,423120.0,213.0,17.635714285714286,18.27857142857143,0.02142857142857143,17.42844827586207,20.14137931034483,0.431896551724138
ch20_URA7_URA8_001_hyperstack_crop_16,2,21,4,8,49,615.0,0.6535373831014648,1.5139662364341189,2.655257922465198,0.5277342292930024,2.0017205393637334,1.6231764167907388,2.699383497244596,7.0238131257955585,0.6063021597352416,0.4491956233885326,0.3417126569779454,0.6834253139558908,0.23632280459260488,yz,xy,10,26.072461020072268,22.347936316003935,59.462398234436634,38.84159481336577,57.72512294001444,838.8498836223976,-12.769133793293499,0.0019611820264908786,56.68705344213651,2.451422714452107,0.15690136912669936,0.03057444931654918,0.06898336375756572,0.017541803707184386,3.857142857142857,5,1.2,0.5123871382851432,152.58683558872767,133632.0,182.0,12.326086956521738,7.943478260869566,0.4565217391304347,12.038888888888888,10.377777777777778,0.4222222222222221
ch20_URA7_URA8_001_hyperstack_crop_16,3,39,31,3,47,660.0,0.6572791621058687,1.7384664455651175,4.867970083335769,0.6816056568288712,4.210690921229901,2.0190500263211604,3.0537065093379843,10.67115747022182,0.5756578338398619,0.41275367007168023,0.413189215534988,0.826378431069976,0.25090617772995005,xy,xy,23,12.15715384190988,4.687578014397654,38.86536976389947,63.821864252575736,25.134602308587787,1010.5243911965591,-51.664710410665855,3.3735833578659015e-05,119.09455386418138,1.1545376316331744,0.018601754871720177,0.0993414385405298,0.38697982743767123,0.08789264725625472,4.051282051282051,5,1.2,0.3927223207742826,172.3111036251753,482831.0,289.0,17.280000000000005,17.48,0.2699999999999999,17.297142857142852,18.625714285714285,0.12857142857142856
ch20_URA7_URA8_001_hyperstack_crop_17,2,24,10,4,48,660.0,0.6348266514984827,1.3292564327227478,3.331156135227473,0.7126374034418173,2.69632948372899,1.5973922618312135,2.6615356132851775,6.549704318384009,0.614916558635875,0.3898050974512736,0.30224271812787423,0.6044854362557485,0.2573877181881173,xy,xy,10,0.49588047577383737,21.301325739022758,67.3903285232872,38.88141172592159,71.458583983362,1204.6428060138642,-38.38553125014775,-0.0004092296187867495,63.87685471884426,0.8275239684549004,0.03108092515693922,0.05931824258280198,0.15137693784319228,0.041412372476140755,3.0833333333333335,5,1.2,0.3590522839232795,142.928804397583,99391.0,185.0,19.392857142857142,16.842857142857145,0.04285714285714286,20.2,16.75,0.19999999999999998
ch20_URA7_URA8_001_hyperstack_crop_17,4,8,5,5,13,120.0,1.0099994601943105,1.4372135295572315,2.365337948495463,0.4050859871365643,1.3553384883011523,1.5458675743846242,2.5278848557482916,5.710633904102198,0.5480444347920297,0.45013058593973326,0.359888826607357,0.719777653214714,0.26207802857181717,xy,xy,0,1.164906610319784,3.6489551956506716,29.152617062371686,20.37465700969259,49.58873426699418,271.13216264617057,-19.20975039937281,-0.009947640997242423,20.223078845986333,1.891461491948077,0.31922166180498446,0.05213624134417041,0.10077336784072649,0.028734407672464664,3.375,4,0.8999999999999999,0.23536431054935722,145.98746871948242,50430.0,181.0,19.65254237288136,23.272881355932203,0.14237288135593218,18.155172413793103,22.117241379310343,0.14482758620689654
ch20_URA7_URA8_001_hyperstack_crop_17,5,9,4,14,32,270.0,0.9428090415820645,1.4663867133875137,2.19996205257001,0.35568892784200595,1.2571530109879454,1.543760994182175,2.4555204569823386,5.2347583558078545,0.620266267212076,0.4717314914228125,0.33682430603632724,0.6736486120726545,0.2318339543337807,xy,xy,2,4.10458283176609,0.0,16.923628162726782,44.999999999999936,28.30632408565234,473.7489228834467,-40.89541716823385,-0.0010189443243266835,22.099684112841047,0.602222313137132,0.07872796992953042,0.04247837252714294,0.07440770973685856,0.024856133087439444,2.5555555555555554,3,0.6,0.17044540887142076,139.2917734781901,49335.0,167.0,19.15813953488372,22.674418604651162,0.21627906976744182,18.7,23.0,0.0
ch20_URA7_URA8_001_hyperstack_crop_19,2,43,35,4,49,675.0,0.6666666666666643,2.8531745741570926,5.623693379029026,1.301656769030475,4.957026712362362,3.175206340432981,5.880497147936457,15.612251833655248,0.7373469117024876,0.54666802589027,0.44092663725126396,0.8818532745025279,0.17050921610607161,xy,xz,5,2.6125082668338897,0.0,46.10111420997862,0.0,46.22025173538806,926.9084863343755,2.6125082668338897,-0.00497474385642849,252.86137736126764,3.600585330901869,0.1163545778661897,0.04616537157667685,0.11015255431306455,0.02615797749803633,3.744186046511628,5,1.2,0.30759276593675716,160.55822115166242,813913.0,269.0,23.07254901960784,14.729411764705882,0.2901960784313726,21.299999999999997,17.849999999999998,0.0
ch20_URA7_URA8_001_hyperstack_crop_20,4,30,11,5,49,660.0,0.6558973016081867,2.132652496935879,4.030968469661129,0.9366988988245752,3.3750711680529424,2.271674044052426,4.829795425923271,12.523681315474448,0.7094552021684435,0.4852481532803713,0.3559029882987993,0.7118059765975986,0.19303573646759237,xy,xy,6,0.21461151421684377,10.113383914013065,81.3691150620945,14.295314931062657,84.23225030552786,893.8677527291671,-14.080703416845815,0.0010380247067375763,144.89386277769813,1.8636209144812035,0.06883888845234422,0.046130264004268964,0.12115359569831821,0.027829558747500583,2.7666666666666666,4,1.2,0.18252590383043105,150.52004750569662,225797.0,195.0,20.16206896551724,24.444827586206895,0.12413793103448272,19.282978723404256,22.81914893617021,0.3638297872340425
ch20_URA7_URA8_001_hyperstack_crop_21,4,25,18,14,47,495.0,0.9031880488706318,1.9323023258605918,3.40923800535273,0.5789954594773293,2.5060499564820984,2.1409366918458357,4.217847112342124,10.493915477101927,0.6929848365226995,0.49108899025447655,0.36109781676926117,0.7221956335385223,0.19435924789882275,xy,xy,13,0.0,8.749202151968309,82.98187826603677,40.974811825744524,42.16876194704494,693.9618007063534,-40.974811825744524,0.000552484482389946,105.4461778085531,2.3550477702161383,0.10661084215892827,0.04347164976104445,0.09676505422973809,0.02004660851619191,3.32,5,1.2,0.25313822413535014,147.86626403808594,188177.0,181.0,20.625,21.674999999999997,0.0,19.057142857142853,23.428571428571423,0.11428571428571428
ch20_URA7_URA8_001_hyperstack_crop_23,1,8,7,4,23,285.0,0.9361590134225481,3.631760506419924,6.28452677967485,1.850883693210287,5.348367766252301,3.9888444990851757,6.893651584487506,16.288650190793994,0.7955362890823829,0.5229771954747925,0.42097385913593827,0.8419477182718765,0.14511767619560198,xy,xy,0,0.4744260786633734,10.513756395858321,66.36488166784109,68.90796300892056,11.310896531150023,248.63329505930298,-68.43353693025719,-0.005399965946976829,55.149212675900046,3.076285759938442,0.2898638472192236,0.06989351505670435,0.12802901598409241,0.0347185684058789,4.125,5,1.2,0.34899391771747645,192.7899627685547,251440.0,345.0,15.417391304347827,11.152173913043478,0.13043478260869562,17.907692307692308,9.346153846153845,0.11538461538461539
ch20_URA7_URA8_001_hyperstack_crop_23,6,8,4,29,49,300.0,1.641347540589658,2.264906475129626,3.4103536524224607,0.595633964900108,1.7690061118328027,2.383569561882355,4.911892388567793,7.364489627466643,0.7435877687284519,0.5767568406546777,0.3736745521072462,0.7473491042144924,0.1748203812773788,xy,xy,0,0.8566430552793493,24.519527369563104,1.1287414271338025,24.64904422618398,35.868506949077634,120.39569689846167,-23.792401170904633,-0.0004891243330659046,39.295139108542344,1.353450072377711,0.17234048607125155,0.03820738329052757,0.07161142730552046,0.018376089365147473,2.75,4,0.8999999999999999,0.19438797112989747,169.39480018615723,76835.0,256.0,18.308823529411764,24.67941176470588,0.10588235294117646,18.978688524590165,23.522950819672133,0.31967213114754095
ch20_URA7_URA8_001_hyperstack_crop_24,3,28,22,6,49,645.0,0.7187365986260934,2.16031445204576,4.370398230149126,0.7769320504000606,3.651661631523033,2.3645188742223437,4.30987262041026,9.374569122810948,0.6974059305131737,0.5424691071265749,0.3782108533212501,0.7564217066425002,0.19240118952389848,xz,xy,3,6.119992522652613,9.790048479500976,1.7740670926898523,23.773301656225566,25.933566383809627,619.245134111616,-17.653309133572954,-0.0017480609259923278,120.67643337148729,0.6160266949482724,0.028133007043819217,0.040593041017230276,0.11324127779522179,0.024394037731441963,2.9642857142857144,5,1.2,0.1999820668521415,140.88846915108817,224813.0,175.0,20.5,16.866666666666667,0.25,19.939999999999998,16.61,0.24666666666666662
ch20_URA7_URA8_001_hyperstack_crop_28,4,7,3,12,46,510.0,0.8709806173148261,2.71969589126419,3.96377876883464,0.8803229671296853,3.0927981515198137,2.9331984618318576,6.001420959950671,8.20082261562678,0.7825477547103535,0.529916760290464,0.4226122815204328,0.8452245630408656,0.162115180922242,xy,yz,1,2.6553848223624734,20.73674031160318,14.751565880484822,68.87662256381917,81.00799018605349,227.17297067678544,-66.22123774145669,-0.0038420732229597883,42.0099467196547,1.1416725504320375,0.14204127996757415,0.03811248403468114,0.08398119129133529,0.033252706945610076,2.857142857142857,4,0.8999999999999999,0.2149819381328339,164.23091561453683,64258.0,196.0,18.578048780487805,23.963414634146343,0.07317073170731707,18.814285714285713,25.071428571428566,0.21428571428571427
ch20_URA7_URA8_001_hyperstack_crop_29,3,27,27,5,31,390.0,1.4178535587877117,2.685538396138589,4.35325133256415,0.7714726061807239,2.935397773776438,3.042642707374238,5.475864307231782,10.070520993918601,0.7284038842911417,0.4834312680570793,0.44216768042237,0.88433536084474,0.1766909694967022,xy,xz,3,14.29539155529066,2.4088411466499173,43.181323216799555,0.8966402711901299,46.705162513949915,545.5157269622146,13.39875128410053,0.0015751455286038894,147.84833629525812,1.375480638799632,0.05948242084691483,0.05929270165207972,0.1252153752205779,0.02706281602301372,3.7777777777777777,5,1.2,0.30368440688126036,156.2829273365162,403467.0,225.0,19.53272727272727,14.514545454545454,0.22363636363636358,20.15753424657534,15.73972602739726,0.2013698630136986
